Time (UTC), Frequency (MHz),Level (dB/Hz)
1433497355.0, 87.513671875, -49.1286474027
1433497355.0, 87.515625, -49.135249796
1433497355.0, 87.517578125, -49.1411992665
1433497355.0, 87.51953125, -49.1473011047
1433497355.0, 87.521484375, -49.1538749609
1433497355.0, 87.5234375, -49.1606532839
1433497355.0, 87.525390625, -49.1672903301
1433497355.0, 87.52734375, -49.1739432072
1433497355.0, 87.529296875, -49.1801077982
1433497355.0, 87.53125, -49.1862916441
1433497355.0, 87.533203125, -49.1924891053
1433497355.0, 87.53515625, -49.1987084503
1433497355.0, 87.537109375, -49.2053978504
1433497355.0, 87.5390625, -49.2120089078
1433497355.0, 87.541015625, -49.2185455252
1433497355.0, 87.54296875, -49.2246505404
1433497355.0, 87.544921875, -49.2305493813
1433497355.0, 87.546875, -49.2368812969
1433497355.0, 87.548828125, -49.2434082904
1433497355.0, 87.55078125, -49.2492751651
1433497355.0, 87.552734375, -49.2555440918
1433497355.0, 87.5546875, -49.2621362755
1433497355.0, 87.556640625, -49.268312452
1433497355.0, 87.55859375, -49.2742999898
1433497355.0, 87.560546875, -49.2799024045
1433497355.0, 87.5625, -49.2853381608
1433497355.0, 87.564453125, -49.2906863029
1433497355.0, 87.56640625, -49.2960330737
1433497355.0, 87.568359375, -49.3017117815
1433497355.0, 87.5703125, -49.3067366564
1433497355.0, 87.572265625, -49.312214956
1433497355.0, 87.57421875, -49.3173776019
1433497355.0, 87.576171875, -49.3225288856
1433497355.0, 87.578125, -49.3278279276
1433497355.0, 87.580078125, -49.3333685621
1433497355.0, 87.58203125, -49.3382162069
1433497355.0, 87.583984375, -49.3424699407
1433497355.0, 87.5859375, -49.3471235079
1433497355.0, 87.587890625, -49.351742528
1433497355.0, 87.58984375, -49.355938539
1433497355.0, 87.591796875, -49.3604173138
1433497355.0, 87.59375, -49.363894195
1433497355.0, 87.595703125, -49.3679476656
1433497355.0, 87.59765625, -49.3715313187
1433497355.0, 87.599609375, -49.3747000889
1433497355.0, 87.6015625, -49.3784097049
1433497355.0, 87.603515625, -49.3816314521
1433497355.0, 87.60546875, -49.3852234319
1433497355.0, 87.607421875, -49.3885055027
1433497355.0, 87.609375, -49.3913924774
1433497355.0, 87.611328125, -49.393704382
1433497355.0, 87.61328125, -49.3960030386
1433497355.0, 87.615234375, -49.3978743677
1433497355.0, 87.6171875, -49.3998750052
1433497355.0, 87.619140625, -49.4021918513
1433497355.0, 87.62109375, -49.4047254314
1433497355.0, 87.623046875, -49.4067976433
1433497355.0, 87.625, -49.4087411897
1433497355.0, 87.626953125, -49.4104304348
1433497355.0, 87.62890625, -49.4118746055
1433497355.0, 87.630859375, -49.413580358
1433497355.0, 87.6328125, -49.4147578656
1433497355.0, 87.634765625, -49.4151763224
1433497355.0, 87.63671875, -49.4159733139
1433497355.0, 87.638671875, -49.4171629704
1433497355.0, 87.640625, -49.417606803
1433497355.0, 87.642578125, -49.4177962101
1433497355.0, 87.64453125, -49.4178577035
1433497355.0, 87.646484375, -49.4177022392
1433497355.0, 87.6484375, -49.4174645637
1433497355.0, 87.650390625, -49.4175659145
1433497355.0, 87.65234375, -49.4177029565
1433497355.0, 87.654296875, -49.4172189748
1433497355.0, 87.65625, -49.4165784404
1433497355.0, 87.658203125, -49.4159117302
1433497355.0, 87.66015625, -49.4156691846
1433497355.0, 87.662109375, -49.415299457
1433497355.0, 87.6640625, -49.4148493857
1433497355.0, 87.666015625, -49.4142180436
1433497355.0, 87.66796875, -49.4130229339
1433497355.0, 87.669921875, -49.411693732
1433497355.0, 87.671875, -49.410835203
1433497355.0, 87.673828125, -49.4096717499
1433497355.0, 87.67578125, -49.4077991497
1433497355.0, 87.677734375, -49.406371013
1433497355.0, 87.6796875, -49.405300273
1433497355.0, 87.681640625, -49.4043436284
1433497355.0, 87.68359375, -49.4025811418
1433497355.0, 87.685546875, -49.4011579558
1433497355.0, 87.6875, -49.399445522
1433497355.0, 87.689453125, -49.3982282703
1433497355.0, 87.69140625, -49.3965378982
1433497355.0, 87.693359375, -49.3945181034
1433497355.0, 87.6953125, -49.3929704931
1433497355.0, 87.697265625, -49.391248407
1433497355.0, 87.69921875, -49.3890021311
1433497355.0, 87.701171875, -49.3877483963
1433497355.0, 87.703125, -49.3860953183
1433497355.0, 87.705078125, -49.3841464671
1433497355.0, 87.70703125, -49.3826859468
1433497355.0, 87.708984375, -49.3813613285
1433497355.0, 87.7109375, -49.3799490783
1433497355.0, 87.712890625, -49.3780861864
1433497355.0, 87.71484375, -49.3760448508
1433497355.0, 87.716796875, -49.3746037061
1433497355.0, 87.71875, -49.3730700042
1433497355.0, 87.720703125, -49.3720117069
1433497355.0, 87.72265625, -49.3704667228
1433497355.0, 87.724609375, -49.3685229325
1433497355.0, 87.7265625, -49.367002043
1433497355.0, 87.728515625, -49.366071132
1433497355.0, 87.73046875, -49.364628118
1433497355.0, 87.732421875, -49.3625435831
1433497355.0, 87.734375, -49.3606977232
1433497355.0, 87.736328125, -49.3590906865
1433497355.0, 87.73828125, -49.3577120767
1433497355.0, 87.740234375, -49.3561405385
1433497355.0, 87.7421875, -49.3548033647
1433497355.0, 87.744140625, -49.3533470042
1433497355.0, 87.74609375, -49.3518557188
1433497355.0, 87.748046875, -49.3504853212
1433497355.0, 87.75, -49.349141998
1433497355.0, 87.751953125, -49.3482585958
1433497355.0, 87.75390625, -49.3481184365
1433497355.0, 87.755859375, -49.347419423
1433497355.0, 87.7578125, -49.3457227932
1433497355.0, 87.759765625, -49.3449749562
1433497355.0, 87.76171875, -49.3441259395
1433497355.0, 87.763671875, -49.3425250818
1433497355.0, 87.765625, -49.3414025951
1433497355.0, 87.767578125, -49.3406845747
1433497355.0, 87.76953125, -49.3385417811
1433497355.0, 87.771484375, -49.3349735519
1433497355.0, 87.7734375, -49.3342028796
1433497355.0, 87.775390625, -49.3338703766
1433497355.0, 87.77734375, -49.3325407217
1433497355.0, 87.779296875, -49.3313804474
1433497355.0, 87.78125, -49.3305591179
1433497355.0, 87.783203125, -49.3301371271
1433497355.0, 87.78515625, -49.3296439405
1433497355.0, 87.787109375, -49.3287314558
1433497355.0, 87.7890625, -49.3274214808
1433497355.0, 87.791015625, -49.3262340478
1433497355.0, 87.79296875, -49.3257461203
1433497355.0, 87.794921875, -49.325085714
1433497355.0, 87.796875, -49.3247637148
1433497355.0, 87.798828125, -49.3243842128
1433497355.0, 87.80078125, -49.3237751046
1433497355.0, 87.802734375, -49.3234278205
1433497355.0, 87.8046875, -49.3224310293
1433497355.0, 87.806640625, -49.3218878606
1433497355.0, 87.80859375, -49.3219926128
1433497355.0, 87.810546875, -49.3217074755
1433497355.0, 87.8125, -49.3216269584
1433497355.0, 87.814453125, -49.3216347822
1433497355.0, 87.81640625, -49.3215317525
1433497355.0, 87.818359375, -49.3215341646
1433497355.0, 87.8203125, -49.3221162624
1433497355.0, 87.822265625, -49.3224556451
1433497355.0, 87.82421875, -49.3232846398
1433497355.0, 87.826171875, -49.3241365145
1433497355.0, 87.828125, -49.3244495224
1433497355.0, 87.830078125, -49.3246398996
1433497355.0, 87.83203125, -49.3253401151
1433497355.0, 87.833984375, -49.3263262443
1433497355.0, 87.8359375, -49.3277892153
1433497355.0, 87.837890625, -49.329442585
1433497355.0, 87.83984375, -49.3306438395
1433497355.0, 87.841796875, -49.331897424
1433497355.0, 87.84375, -49.3333030493
1433497355.0, 87.845703125, -49.3341587828
1433497355.0, 87.84765625, -49.3349442755
1433497355.0, 87.849609375, -49.3365457577
1433497355.0, 87.8515625, -49.3388467756
1433497355.0, 87.853515625, -49.3412761381
1433497355.0, 87.85546875, -49.3439212072
1433497355.0, 87.857421875, -49.3460119503
1433497355.0, 87.859375, -49.3479953149
1433497355.0, 87.861328125, -49.3499207698
1433497355.0, 87.86328125, -49.3523983502
1433497355.0, 87.865234375, -49.3552668696
1433497355.0, 87.8671875, -49.3575294345
1433497355.0, 87.869140625, -49.3597725726
1433497355.0, 87.87109375, -49.3620547097
1433497355.0, 87.873046875, -49.3641718589
1433497355.0, 87.875, -49.365906783
1433497355.0, 87.876953125, -49.3680174269
1433497355.0, 87.87890625, -49.3704568866
1433497355.0, 87.880859375, -49.3732068194
1433497355.0, 87.8828125, -49.3756607672
1433497355.0, 87.884765625, -49.3781166455
1433497355.0, 87.88671875, -49.3808012706
1433497355.0, 87.888671875, -49.3832556414
1433497355.0, 87.890625, -49.3851060939
1433497355.0, 87.892578125, -49.3870098497
1433497355.0, 87.89453125, -49.3889495588
1433497355.0, 87.896484375, -49.3914067625
1433497355.0, 87.8984375, -49.3932583312
1433497355.0, 87.900390625, -49.3951040355
1433497355.0, 87.90234375, -49.3970873314
1433497355.0, 87.904296875, -49.3985346237
1433497355.0, 87.90625, -49.4002357327
1433497355.0, 87.908203125, -49.4023893663
1433497355.0, 87.91015625, -49.4031916576
1433497355.0, 87.912109375, -49.4044837083
1433497355.0, 87.9140625, -49.4059416856
1433497355.0, 87.916015625, -49.4068134589
1433497355.0, 87.91796875, -49.4067732045
1433497355.0, 87.919921875, -49.4068529088
1433497355.0, 87.921875, -49.4070382083
1433497355.0, 87.923828125, -49.4064816376
1433497355.0, 87.92578125, -49.4049241107
1433497355.0, 87.927734375, -49.4033415906
1433497355.0, 87.9296875, -49.4002286809
1433497355.0, 87.931640625, -49.396137944
1433497355.0, 87.93359375, -49.3917334361
1433497355.0, 87.935546875, -49.3853429917
1433497355.0, 87.9375, -49.3787448068
1433497355.0, 87.939453125, -49.3705758933
1433497355.0, 87.94140625, -49.3610993807
1433497355.0, 87.943359375, -49.3516981518
1433497355.0, 87.9453125, -49.3419950661
1433497355.0, 87.947265625, -49.3312970521
1433497355.0, 87.94921875, -49.31949896
1433497355.0, 87.951171875, -49.3060674303
1433497355.0, 87.953125, -49.290174011
1433497355.0, 87.955078125, -49.2728528224
1433497355.0, 87.95703125, -49.2534042509
1433497355.0, 87.958984375, -49.2326053438
1433497355.0, 87.9609375, -49.2091224316
1433497355.0, 87.962890625, -49.1828344463
1433497355.0, 87.96484375, -49.1553120374
1433497355.0, 87.966796875, -49.1259460874
1433497355.0, 87.96875, -49.0930507027
1433497355.0, 87.970703125, -49.0572602621
1433497355.0, 87.97265625, -49.0192663042
1433497355.0, 87.974609375, -48.9785968229
1433497355.0, 87.9765625, -48.9344498289
1433497355.0, 87.978515625, -48.8884065114
1433497355.0, 87.98046875, -48.841179476
1433497355.0, 87.982421875, -48.7872532885
1433497355.0, 87.984375, -48.7298495204
1433497355.0, 87.986328125, -48.6688701762
1433497355.0, 87.98828125, -48.6028858246
1433497355.0, 87.990234375, -48.531086461
1433497355.0, 87.9921875, -48.4557387414
1433497355.0, 87.994140625, -48.3764648911
1433497355.0, 87.99609375, -48.2939603402
1433497355.0, 87.998046875, -48.2079233895
1433497355.0, 88.0, -48.1185608831
1433497355.0, 88.001953125, -48.0255252731
1433497355.0, 88.00390625, -47.9296502404
1433497355.0, 88.005859375, -47.8303918456
1433497355.0, 88.0078125, -47.728232204
1433497355.0, 88.009765625, -47.6219953253
1433497355.0, 88.01171875, -47.5126979661
1433497355.0, 88.013671875, -47.4000555815
1433497355.0, 88.015625, -47.2833743868
1433497355.0, 88.017578125, -47.1637250976
1433497355.0, 88.01953125, -47.0414605874
1433497355.0, 88.021484375, -46.9141286625
1433497355.0, 88.0234375, -46.7851710509
1433497355.0, 88.025390625, -46.6553062221
1433497355.0, 88.02734375, -46.5225089796
1433497355.0, 88.029296875, -46.3872814567
1433497355.0, 88.03125, -46.2505915203
1433497355.0, 88.033203125, -46.1126511546
1433497355.0, 88.03515625, -45.9726247045
1433497355.0, 88.037109375, -45.8315827437
1433497355.0, 88.0390625, -45.690036362
1433497355.0, 88.041015625, -45.5490054724
1433497355.0, 88.04296875, -45.408775079
1433497355.0, 88.044921875, -45.2679620337
1433497355.0, 88.046875, -45.1281669914
1433497355.0, 88.048828125, -44.9900072815
1433497355.0, 88.05078125, -44.8533494503
1433497355.0, 88.052734375, -44.7193661654
1433497355.0, 88.0546875, -44.588304483
1433497355.0, 88.056640625, -44.4599098997
1433497355.0, 88.05859375, -44.335282074
1433497355.0, 88.060546875, -44.2142767994
1433497355.0, 88.0625, -44.0977905086
1433497355.0, 88.064453125, -43.985435413
1433497355.0, 88.06640625, -43.8783034862
1433497355.0, 88.068359375, -43.776088802
1433497355.0, 88.0703125, -43.6788434883
1433497355.0, 88.072265625, -43.5879037265
1433497355.0, 88.07421875, -43.5020626625
1433497355.0, 88.076171875, -43.4231407633
1433497355.0, 88.078125, -43.3503924684
1433497355.0, 88.080078125, -43.2842947863
1433497355.0, 88.08203125, -43.225372164
1433497355.0, 88.083984375, -43.1736425069
1433497355.0, 88.0859375, -43.1292465874
1433497355.0, 88.087890625, -43.0919794054
1433497355.0, 88.08984375, -43.0624506416
1433497355.0, 88.091796875, -43.0409731224
1433497355.0, 88.09375, -43.0271923829
1433497355.0, 88.095703125, -43.0208973586
1433497355.0, 88.09765625, -43.0219375719
1433497355.0, 88.099609375, -43.0313091115
1433497355.0, 88.1015625, -43.0481598653
1433497355.0, 88.103515625, -43.0728625343
1433497355.0, 88.10546875, -43.105036019
1433497355.0, 88.107421875, -43.1455251723
1433497355.0, 88.109375, -43.1936277362
1433497355.0, 88.111328125, -43.2481595089
1433497355.0, 88.11328125, -43.310118568
1433497355.0, 88.115234375, -43.3786431043
1433497355.0, 88.1171875, -43.4538047251
1433497355.0, 88.119140625, -43.535405938
1433497355.0, 88.12109375, -43.6229832923
1433497355.0, 88.123046875, -43.7160778034
1433497355.0, 88.125, -43.8150477698
1433497355.0, 88.126953125, -43.9195007803
1433497355.0, 88.12890625, -44.028633586
1433497355.0, 88.130859375, -44.1415308738
1433497355.0, 88.1328125, -44.2590981059
1433497355.0, 88.134765625, -44.3811147888
1433497355.0, 88.13671875, -44.5063397512
1433497355.0, 88.138671875, -44.6354767701
1433497355.0, 88.140625, -44.7682333343
1433497355.0, 88.142578125, -44.903280826
1433497355.0, 88.14453125, -45.0406289418
1433497355.0, 88.146484375, -45.1784401022
1433497355.0, 88.1484375, -45.3184025937
1433497355.0, 88.150390625, -45.4606484469
1433497355.0, 88.15234375, -45.6021097103
1433497355.0, 88.154296875, -45.7422026062
1433497355.0, 88.15625, -45.8819071292
1433497355.0, 88.158203125, -46.0204916296
1433497355.0, 88.16015625, -46.1584188925
1433497355.0, 88.162109375, -46.2960188968
1433497355.0, 88.1640625, -46.4321764272
1433497355.0, 88.166015625, -46.5663849426
1433497355.0, 88.16796875, -46.6975490407
1433497355.0, 88.169921875, -46.8272941098
1433497355.0, 88.171875, -46.9547192803
1433497355.0, 88.173828125, -47.0779180244
1433497355.0, 88.17578125, -47.1976364284
1433497355.0, 88.177734375, -47.3146994622
1433497355.0, 88.1796875, -47.4285830961
1433497355.0, 88.181640625, -47.5384072165
1433497355.0, 88.18359375, -47.6447158179
1433497355.0, 88.185546875, -47.7473141744
1433497355.0, 88.1875, -47.846088444
1433497355.0, 88.189453125, -47.940578378
1433497355.0, 88.19140625, -48.0318677752
1433497355.0, 88.193359375, -48.1185410737
1433497355.0, 88.1953125, -48.2019462676
1433497355.0, 88.197265625, -48.2827220064
1433497355.0, 88.19921875, -48.3609490357
1433497355.0, 88.201171875, -48.4344846174
1433497355.0, 88.203125, -48.5047509647
1433497355.0, 88.205078125, -48.5705004535
1433497355.0, 88.20703125, -48.6322510758
1433497355.0, 88.208984375, -48.6901952848
1433497355.0, 88.2109375, -48.7447051944
1433497355.0, 88.212890625, -48.7938753534
1433497355.0, 88.21484375, -48.8385427646
1433497355.0, 88.216796875, -48.8795757689
1433497355.0, 88.21875, -48.9176907409
1433497355.0, 88.220703125, -48.9527512596
1433497355.0, 88.22265625, -48.9842388206
1433497355.0, 88.224609375, -49.0131287996
1433497355.0, 88.2265625, -49.0395979296
1433497355.0, 88.228515625, -49.0633310473
1433497355.0, 88.23046875, -49.0860873467
1433497355.0, 88.232421875, -49.1057145199
1433497355.0, 88.234375, -49.1220642829
1433497355.0, 88.236328125, -49.1371631196
1433497355.0, 88.23828125, -49.1501012812
1433497355.0, 88.240234375, -49.1607056668
1433497355.0, 88.2421875, -49.169590318
